"iso3c","year","gdp_cap","unemp_nat","unemp_ilo","fertility","fem_labour","pop","pop65","pop_dens"
"IDN",1998,2084.1428308054,5.46,5.78,2.544,38.2198379608905,205724597,4.47908726439472,113.56149472557
"IDN",1999,2071.52466273924,6.36,6.36,2.523,38.0541586748537,208615171,4.58982874826327,115.157112891028
"IDN",2000,2143.65951426001,6.08,6.08,2.512,38.1854481245068,211513822,4.69911368393166,116.757189620053
"IDN",2001,2191.57415651058,6.08,6.08,2.509,37.2971793454017,214427419,4.76119245516071,118.365516651302
"IDN",2002,2259.30773477148,6.6,6.6,2.511,36.3507679003434,217357790,4.8031726196263,119.983103054257
"IDN",2003,2335.59400209779,6.66,6.66,2.513,36.523460287488,220309473,4.82265290195039,121.612453838383
"IDN",2004,2420.39729003914,7.3,7.3,2.515,35.9379849429636,223285666,4.82030204212473,123.255334323267
"IDN",2005,2524.2224460692,7.94,7.95,2.514,35.718989750543,226289468,4.80076514386639,124.913455179761
"IDN",2006,2627.90524538688,7.55,7.55,2.51,35.6169744541133,229318262,4.86822283695836,126.585371804567
"IDN",2007,2757.89374105427,8.06,8.06,2.505,37.433885584832,232374239,4.91885191493575,128.272293645843
"IDN",2008,2885.30936062326,7.21,7.21,2.499,37.8027048013651,235469755,4.95243376514731,129.981041306712
"IDN",2009,2979.00482625809,6.11,6.11,2.492,37.8799464483509,238620554,4.96738204410321,131.720305591283
"IDN",2010,3122.36267319362,5.61,5.61,2.483,38.1455106857006,241834226,4.96251409255717,133.494276235531
"IDN",2011,3270.62239866007,5.15,5.15,2.471,37.9999556917363,245115988,5.04413202554593,135.30583306193
