"COUNTRY_ALPHA","year","wave","liberal","confidence_gov","freedom_gov","democratic","reason_neediness","system_rating","poverty_compare"
"LBY",2014,6,6.9746597841389,2.66494603472548,NA,4.00797747536368,NA,NA,NA
"LTU",1997,3,6.49653121902874,2.37165510406343,1.43211100099108,NA,1.46283448959366,4.4400396432111,1.0386521308226
"LVA",1996,3,7.05916666666667,2.71166666666667,1.52833333333333,NA,1.43166666666667,3.96083333333333,1.0375
"MAC",2020,7,5.57673509286413,2.17302052785924,NA,5.67741935483871,NA,NA,NA
"MAR",2001,4,6.10551558752998,2.07354116706635,NA,NA,NA,NA,NA
"MAR",2007,5,7.70416666666667,2.20083333333333,NA,3.62166666666667,NA,NA,NA
"MAR",2011,6,5.14083333333333,2.22083333333333,NA,3.52833333333333,NA,NA,NA
"MDA",1996,3,7.64126016260163,2.61585365853659,1.52337398373984,NA,1.72764227642276,5.61280487804878,1.10873983739837
"MDA",2002,4,6.67162698412698,2.69940476190476,NA,NA,NA,3.84722222222222,NA
"MDA",2006,5,6.59560229445507,2.83460803059273,NA,4.74569789674952,NA,NA,NA
"MEX",1981,1,NA,NA,NA,NA,NA,NA,NA
"MEX",1990,2,4.98171129980405,2.88569562377531,NA,NA,NA,NA,NA
"MEX",1996,3,5.77284768211921,2.72715231788079,1.34238410596026,NA,1.46556291390728,4.73774834437086,1.33576158940397
"MEX",2000,4,5.27752442996743,2.71661237785016,NA,NA,NA,4.17198697068404,NA
"MEX",2005,5,5.43653846153846,2.57179487179487,NA,6.21794871794872,NA,NA,NA
"MEX",2012,6,6.373,2.764,NA,6.089,NA,NA,NA
"MEX",2018,7,5.84991374353076,3.31339850488787,NA,5.15641173087982,NA,NA,NA
"MKD",1998,3,7.19698492462312,2.92160804020101,1.1035175879397,NA,1.5035175879397,5.22613065326633,1.18793969849246
"MKD",2001,4,7.5781990521327,3.34407582938389,NA,NA,NA,5.76018957345972,NA
"MLI",2007,5,5.44198174706649,1.69882659713168,NA,6.19491525423729,NA,NA,NA
"MMR",2020,7,6.465,1.89833333333333,NA,6.53166666666667,NA,NA,NA
