"iso3","year","cow_code","country_name","variable","regime"
"LVA",1881,367,"Latvia","v2x_regime_amb_interpol",0
"MAR",1881,600,"Morocco","v2x_regime_amb_interpol",0
"MDA",1881,359,"Moldova","v2x_regime_amb_interpol",0
"MDG",1881,580,"Madagascar","v2x_regime_amb_interpol",0
"MEX",1881,70,"Mexico","v2x_regime_amb_interpol",0
"MKD",1881,343,"Macedonia","v2x_regime_amb_interpol",0
"MLI",1881,432,"Mali","v2x_regime_amb_interpol",0
"MMR",1881,775,"Burma/Myanmar","v2x_regime_amb_interpol",0
"MNE",1881,341,"Montenegro","v2x_regime_amb_interpol",0
"MNG",1881,712,"Mongolia","v2x_regime_amb_interpol",0
"MOZ",1881,541,"Mozambique","v2x_regime_amb_interpol",0
"MRT",1881,435,"Mauritania","v2x_regime_amb_interpol",0
"MUS",1881,590,"Mauritius","v2x_regime_amb_interpol",0
"MWI",1881,553,"Malawi","v2x_regime_amb_interpol",0
"MYS",1881,820,"Malaysia","v2x_regime_amb_interpol",0
"NAM",1881,565,"Namibia","v2x_regime_amb_interpol",0
"NER",1881,436,"Niger","v2x_regime_amb_interpol",0
"NGA",1881,475,"Nigeria","v2x_regime_amb_interpol",0
"NIC",1881,93,"Nicaragua","v2x_regime_amb_interpol",3
"NLD",1881,210,"Netherlands","v2x_regime_amb_interpol",0
"NOR",1881,385,"Norway","v2x_regime_amb_interpol",3
"NPL",1881,790,"Nepal","v2x_regime_amb_interpol",0
"NZL",1881,920,"New Zealand","v2x_regime_amb_interpol",0
"OMN",1881,698,"Oman","v2x_regime_amb_interpol",0
"PAK",1881,770,"Pakistan","v2x_regime_amb_interpol",0
"PAN",1881,95,"Panama","v2x_regime_amb_interpol",0
"PER",1881,135,"Peru","v2x_regime_amb_interpol",0
"PHL",1881,840,"Philippines","v2x_regime_amb_interpol",0
"PNG",1881,910,"Papua New Guinea","v2x_regime_amb_interpol",0
"POL",1881,290,"Poland","v2x_regime_amb_interpol",0
"PRK",1881,731,"North Korea","v2x_regime_amb_interpol",0
"PRT",1881,235,"Portugal","v2x_regime_amb_interpol",0
"PRY",1881,150,"Paraguay","v2x_regime_amb_interpol",0
