"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1989","1989","USD","US Dollar","0","Units",,,3725.658,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1990","1990","USD","US Dollar","0","Units",,,4000.944,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1991","1991","USD","US Dollar","0","Units",,,4267.011,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1992","1992","USD","US Dollar","0","Units",,,4473.836,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1993","1993","USD","US Dollar","0","Units",,,4805.509,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1994","1994","USD","US Dollar","0","Units",,,5506.223,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1995","1995","USD","US Dollar","0","Units",,,5784.754,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1996","1996","USD","US Dollar","0","Units",,,5914.85,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1997","1997","USD","US Dollar","0","Units",,,6018.344,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1998","1998","USD","US Dollar","0","Units",,,6124.772,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","1999","1999","USD","US Dollar","0","Units",,,6543.774,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2000","2000","USD","US Dollar","0","Units",,,6812.456,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2001","2001","USD","US Dollar","0","Units",,,7161.596,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2002","2002","USD","US Dollar","0","Units",,,7599.983,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2003","2003","USD","US Dollar","0","Units",,,7797.756,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2004","2004","USD","US Dollar","0","Units",,,8271.753,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2005","2005","USD","US Dollar","0","Units",,,8604.819,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2006","2006","USD","US Dollar","0","Units",,,9310.901,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2007","2007","USD","US Dollar","0","Units",,,9736.113,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2008","2008","USD","US Dollar","0","Units",,,10474.018,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2009","2009","USD","US Dollar","0","Units",,,11394.589,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","DNK","Denmark","2010","2010","USD","US Dollar","0","Units",,,12308.055,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1987","1987","USD","US Dollar","0","Units",,,3364.307,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1988","1988","USD","US Dollar","0","Units",,,3545.799,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1989","1989","USD","US Dollar","0","Units",,,3809.495,,
