iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,NA,NA,NA,NA,NA,NA,50.58905030434249,NA,NA,NA,NA,63.813659656682084,NA,NA,63.268311868666004,NA,NA,NA,NA,NA
GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,NA,NA,NA,NA,NA,NA,NA,NA,51.48208425602299,50.481315176542296,53.2419670487817,50.902854469457694,NA,55.79375486405821,NA,45.8931175503408,35.9202399284335,43.536324483809196,NA,NA
HPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,NA,NA,NA,NA,NA,NA,NA,NA,67.9857646076078,NA,70.7185366478938,70.47808773999999,NA,NA,71.06270910999999,NA,NA,NA,NA,NA
HTI,NA,0.7533854027829608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.462140238009393,NA,NA,NA,NA,NA,NA,NA
HUN,NA,NA,NA,NA,NA,NA,NA,89.44499001767531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IBT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDN,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6040097427849,NA,52.8032519405775,55.07542146540089,NA,66.07379193014968,57.412936903146196,NA,54.07380642,57.12564270000001,NA
IDX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,NA,NA,NA,NA,27.220584070559095,NA,NA,NA,NA,21.454026062109097,NA,93.98880257633779,NA,NA,NA,NA,NA,NA,NA,NA
INX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,NA,NA,NA,NA,NA,NA,86.0142922921046,NA,NA,NA,NA,NA,83.5595425298604,NA,NA,NA,NA,NA,NA,NA
ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAM,NA,NA,32.649924792361496,NA,NA,NA,NA,NA,NA,NA,57.9434923575729,NA,NA,NA,NA,NA,NA,52.77096107,NA,NA
JOR,NA,NA,NA,NA,NA,NA,81.94828543493901,NA,NA,NA,73.19309317314469,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,NA,NA,NA,NA,NA,NA,NA,45.777721692745295,NA,NA,50.65705343021149,NA,NA,NA,67.35576219439719,50.214540119439995,NA,49.2103070655541,NA,NA
KEN,NA,NA,NA,NA,NA,21.5782207102491,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4008933478284,NA,NA,NA,NA
KGZ,NA,NA,NA,NA,NA,NA,36.62831691531131,NA,NA,NA,NA,59.9754708898872,58.318220151846184,57.86212524901171,NA,NA,NA,NA,NA,NA
KHM,NA,NA,NA,NA,NA,NA,NA,NA,2.64562373692389,NA,NA,NA,NA,3.0859705293764503,NA,NA,NA,NA,NA,NA
KIR,NA,NA,NA,NA,NA,NA,4.571458667334671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAO,NA,NA,NA,NA,NA,NA,NA,1.6525262984624896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,NA,NA,NA,NA,54.56076442119029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,NA,NA,NA,NA,NA,NA,NA,33.8306767,NA,NA,NA,NA,NA,NA,7.39837006750362,NA,14.254672039999999,NA,NA,NA
LBY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,NA,NA,NA,NA,NA,NA,35.611051307879706,NA,NA,29.831736871749694,NA,NA,33.13001324221891,NA,NA,NA,35.14069517726939,NA,NA,NA
LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.322613607938699,NA,NA,NA,51.905264342940704,NA,NA,71.66855250999998,NA,NA
LTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,NA,NA,NA,NA,NA,NA,NA,NA,81.90531068999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVA,NA,NA,NA,NA,NA,NA,NA,NA,78.0806808251686,80.3012483456741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.013363489457994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.55592534062991,NA,56.5882574959957,56.5912287373309,NA,NA,NA,NA,60.106071740000004,NA
MDG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.699430879265068,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDV,NA,NA,NA,NA,6.5400976989049004,NA,NA,NA,NA,29.308507189263196,NA,NA,NA,NA,NA,NA,27.549048489127195,NA,NA,NA
MEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,NA,NA,NA,NA,NA,NA,NA,NA,60.9598469210057,NA,71.0035270778167,NA,72.2302158924971,NA,65.6829650853581,NA,39.5713452628929,NA,38.447531040481806,NA
MHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30579913373026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
