"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2000","2000","USD","US Dollar","0","Units",,,4646.334,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2001","2001","USD","US Dollar","0","Units",,,4907.614,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2002","2002","USD","US Dollar","0","Units",,,5056.754,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2003","2003","USD","US Dollar","0","Units",,,5313.545,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2004","2004","USD","US Dollar","0","Units",,,5601.917,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2005","2005","USD","US Dollar","0","Units",,,5915.697,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2006","2006","USD","US Dollar","0","Units",,,6289.183,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2007","2007","USD","US Dollar","0","Units",,,6466.325,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2008","2008","USD","US Dollar","0","Units",,,6540.744,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2009","2009","USD","US Dollar","0","Units",,,7088.482,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2010","2010","USD","US Dollar","0","Units",,,7127.178,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2011","2011","USD","US Dollar","0","Units",,,7142.974,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2012","2012","USD","US Dollar","0","Units",,,7367.812,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2013","2013","USD","US Dollar","0","Units",,,7583.477,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2014","2014","USD","US Dollar","0","Units",,,7687.58,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2015","2015","USD","US Dollar","0","Units",,,8089.216,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2016","2016","USD","US Dollar","0","Units",,,8595.335,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2017","2017","USD","US Dollar","0","Units",,,8830.386,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CAN","Canada","2018","2018","USD","US Dollar","0","Units",,,9063.566,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1990","1990","USD","US Dollar","0","Units",,,1781.059,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1991","1991","USD","US Dollar","0","Units",,,1758.572,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1992","1992","USD","US Dollar","0","Units",,,1820.237,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1993","1993","USD","US Dollar","0","Units",,,1894.659,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1994","1994","USD","US Dollar","0","Units",,,2000.885,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1995","1995","USD","US Dollar","0","Units",,,2207.91,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1996","1996","USD","US Dollar","0","Units",,,2343.521,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1997","1997","USD","US Dollar","0","Units",,,2478.552,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1998","1998","USD","US Dollar","0","Units",,,2554.195,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","1999","1999","USD","US Dollar","0","Units",,,2725.075,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2000","2000","USD","US Dollar","0","Units",,,2895.624,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2001","2001","USD","US Dollar","0","Units",,,3136.724,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2002","2002","USD","US Dollar","0","Units",,,3383.711,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2003","2003","USD","US Dollar","0","Units",,,3642.805,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2004","2004","USD","US Dollar","0","Units",,,3727.776,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2005","2005","USD","US Dollar","0","Units",,,3959.403,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2006","2006","USD","US Dollar","0","Units",,,4205.014,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","CZE","Czech Republic","2007","2007","USD","US Dollar","0","Units",,,4566.334,,
