mod_b,mod_se,mod_var,mod_imputed,ri_cyear,ri_country,estimation,control_gdp,control_gini,control_socx,control_fb,i_level_control,gdp_m_interaction,count,incdiff_grand_mean,incdiff_within_cyear,pref_mods
-0.03905965098710604,0.0019633560692389,B_No_confidence,No,Yes,No,GLM,Yes,No,Yes,No,No,Yes,143,No,Yes,0
-0.039059650987106044,0.0019633561624517602,B_No_confidence,No,Yes,No,GLM,Yes,Yes,No,No,No,Yes,144,No,Yes,0
-0.041908594536788996,0.003046211439513674,B_No_confidence,Yes,Yes,Yes,GLM,No,Yes,No,No,No,No,145,Yes,No,0
-0.041938267499635876,0.003046265122069298,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,Yes,No,No,146,Yes,No,0
-0.04193951579247478,0.0030461626495258383,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,No,No,No,147,Yes,No,0
-0.041946101456637394,0.0030462463234919067,B_No_confidence,Yes,Yes,Yes,GLM,Yes,No,No,No,No,No,148,Yes,No,0
-0.041953008099640456,0.003046321892913229,B_No_confidence,Yes,Yes,Yes,GLM,No,No,Yes,No,No,No,149,Yes,No,0
-0.04211413219397481,0.0030506361903525517,B_No_confidence,Yes,Yes,Yes,GLM,No,Yes,No,No,No,No,150,No,Yes,0
-0.042114132193974814,0.003050638112891339,B_No_confidence,Yes,Yes,No,GLM,No,No,Yes,No,No,No,151,No,Yes,0
-0.042114132193974856,0.003050636334658687,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,No,No,No,152,No,Yes,0
-0.042114132193974856,0.0030506363520312776,B_No_confidence,Yes,Yes,Yes,GLM,No,No,Yes,No,No,No,153,No,Yes,0
-0.04211413219397487,0.0030506361059135312,B_No_confidence,Yes,Yes,Yes,GLM,Yes,No,No,No,No,No,154,No,Yes,0
-0.042114132193974876,0.003050638024157551,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,No,No,155,No,Yes,0
-0.042114132193974876,0.0030506361155876603,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,Yes,No,No,156,No,Yes,0
-0.0421141321939749,0.0030506381779599632,B_No_confidence,Yes,Yes,No,GLM,No,No,No,No,No,No,157,No,Yes,0
-0.042114132193974925,0.003050638213406739,B_No_confidence,Yes,Yes,No,GLM,No,Yes,No,No,No,No,158,No,Yes,0
-0.04211413219397495,0.0030506378981423475,B_No_confidence,Yes,Yes,No,GLM,No,No,No,Yes,No,No,159,No,Yes,0
-0.04223143523752373,0.003047948981355414,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,No,No,160,Yes,No,0
-0.042233255923542906,0.003047976466307979,B_No_confidence,Yes,Yes,No,GLM,No,No,No,Yes,No,No,161,Yes,No,0
-0.042262203806687326,0.0030484591108506723,B_No_confidence,Yes,Yes,No,GLM,No,Yes,No,No,No,No,162,Yes,No,0
-0.04226733216404511,0.003048402837164937,B_No_confidence,Yes,Yes,No,GLM,No,No,No,No,No,No,163,Yes,No,0
-0.04230718463398526,0.0030484424627923827,B_No_confidence,Yes,Yes,No,GLM,No,No,Yes,No,No,No,164,Yes,No,0
-0.04558551414409561,0.0030840602238569417,B_No_confidence,Yes,Yes,Yes,GLM,No,Yes,No,No,Yes,No,165,Yes,No,0
-0.04559700673704659,0.003083919452694089,B_No_confidence,Yes,Yes,Yes,GLM,Yes,No,No,No,Yes,No,166,Yes,No,0
-0.04561298416558516,0.003084018797235373,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,No,Yes,No,167,Yes,No,0
-0.045614543102056794,0.00308405443698099,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,Yes,Yes,No,168,Yes,No,0
-0.04564821892597997,0.003084131584682592,B_No_confidence,Yes,Yes,Yes,GLM,No,No,Yes,No,Yes,No,169,Yes,No,0
-0.0457570570915711,0.003088149902388842,B_No_confidence,Yes,Yes,No,GLM,No,No,Yes,No,Yes,No,170,No,Yes,0
-0.04575906956875911,0.0030881499797152474,B_No_confidence,Yes,Yes,No,GLM,No,No,No,No,Yes,No,171,No,Yes,0
-0.04575936088552118,0.003088150134234044,B_No_confidence,Yes,Yes,No,GLM,No,Yes,No,No,Yes,No,172,No,Yes,0
-0.04575995390255197,0.0030881495912203107,B_No_confidence,Yes,Yes,No,GLM,No,No,No,Yes,Yes,No,173,No,Yes,0
-0.04576077984030572,0.003088147571531256,B_No_confidence,Yes,Yes,Yes,GLM,No,No,Yes,No,Yes,No,174,No,Yes,0
-0.045760799199109935,0.003088147072853166,B_No_confidence,Yes,Yes,Yes,GLM,Yes,No,No,No,Yes,No,175,No,Yes,0
-0.04576097667399972,0.0030881469957235188,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,Yes,Yes,No,176,No,Yes,0
-0.04576119429016768,0.0030881478614298045,B_No_confidence,Yes,Yes,Yes,GLM,No,No,No,No,Yes,No,177,No,Yes,0
-0.04576197549723087,0.0030881474603973555,B_No_confidence,Yes,Yes,Yes,GLM,No,Yes,No,No,Yes,No,178,No,Yes,0
-0.04576343031118826,0.003088149751906323,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,Yes,No,179,No,Yes,0
-0.04584796955404998,0.0030853483790883084,B_No_confidence,Yes,Yes,No,GLM,No,No,No,Yes,Yes,No,180,Yes,No,0
-0.04584863467650325,0.0030853519940258825,B_No_confidence,Yes,Yes,No,GLM,Yes,No,No,No,Yes,No,181,Yes,No,0
-0.04588624118751337,0.0030856496358548603,B_No_confidence,Yes,Yes,No,GLM,No,No,No,No,Yes,No,182,Yes,No,0
-0.04588884860502966,0.003085711247007312,B_No_confidence,Yes,Yes,No,GLM,No,Yes,No,No,Yes,No,183,Yes,No,0
-0.04594682607188047,0.0030856239698968,B_No_confidence,Yes,Yes,No,GLM,No,No,Yes,No,Yes,No,184,Yes,No,0
-0.05822863070645406,0.0036041569501881693,B_No_confidence,No,Yes,Yes,GLM,No,Yes,No,No,No,No,185,Yes,No,0
-0.05824586121949877,0.0036042728092288727,B_No_confidence,No,Yes,Yes,GLM,No,No,No,No,No,No,186,Yes,No,0
-0.0582536860332775,0.0036043746665069456,B_No_confidence,No,Yes,Yes,GLM,No,No,Yes,No,No,No,187,Yes,No,0
-0.0582599991900957,0.0036080677237329112,B_No_confidence,No,Yes,Yes,GLM,No,Yes,No,No,No,No,188,No,Yes,0
-0.0582599991900958,0.0036080706187671253,B_No_confidence,No,Yes,No,GLM,No,No,No,Yes,No,No,189,No,Yes,0
-0.05825999919009582,0.0036080707550759012,B_No_confidence,No,Yes,No,GLM,Yes,No,No,No,No,No,190,No,Yes,0
-0.05825999919009585,0.0036080709101923587,B_No_confidence,No,Yes,No,GLM,No,Yes,No,No,No,No,191,No,Yes,0
-0.058259999190095856,0.0036080687025627214,B_No_confidence,No,Yes,Yes,GLM,No,No,No,Yes,No,No,192,No,Yes,0
-0.058259999190095876,0.0036080683701184978,B_No_confidence,No,Yes,Yes,GLM,No,No,No,No,No,No,193,No,Yes,0
-0.058259999190095876,0.00360807090205616,B_No_confidence,No,Yes,No,GLM,No,No,No,No,No,No,194,No,Yes,0
-0.058259999190095876,0.00360806847244452,B_No_confidence,No,Yes,Yes,GLM,No,No,Yes,No,No,No,195,No,Yes,0
-0.05825999919009591,0.0036080707859127187,B_No_confidence,No,Yes,No,GLM,No,No,Yes,No,No,No,196,No,Yes,0
-0.05825999919009591,0.003608069077780623,B_No_confidence,No,Yes,Yes,GLM,Yes,No,No,No,No,No,197,No,Yes,0
